threshold,far,frr,tar
-0.07642561,0.92287145,0.00267827,0.99732173
-0.07620697,0.92253756,0.00267827,0.99732173
-0.07609366,0.92220367,0.00267827,0.99732173
-0.07593258,0.92186978,0.00267827,0.99732173
-0.07567472,0.92153589,0.00267827,0.99732173
-0.07553370,0.92120200,0.00267827,0.99732173
-0.07542409,0.92086811,0.00267827,0.99732173
-0.07540969,0.92053422,0.00267827,0.99732173
-0.07522060,0.92020033,0.00267827,0.99732173
-0.07509363,0.91986644,0.00267827,0.99732173
-0.07500102,0.91953255,0.00267827,0.99732173
-0.07484139,0.91919866,0.00267827,0.99732173
-0.07476816,0.91886477,0.00267827,0.99732173
-0.07464769,0.91853088,0.00267827,0.99732173
-0.07452781,0.91819699,0.00267827,0.99732173
-0.07451838,0.91786311,0.00267827,0.99732173
-0.07451005,0.91752922,0.00267827,0.99732173
-0.07442126,0.91752922,0.00301306,0.99698694
-0.07441951,0.91719533,0.00301306,0.99698694
-0.07421891,0.91686144,0.00301306,0.99698694
-0.07413194,0.91652755,0.00301306,0.99698694
-0.07410650,0.91619366,0.00301306,0.99698694
-0.07409038,0.91585977,0.00301306,0.99698694
-0.07404968,0.91552588,0.00301306,0.99698694
-0.07396498,0.91519199,0.00301306,0.99698694
-0.07395329,0.91485810,0.00301306,0.99698694
-0.07381207,0.91452421,0.00301306,0.99698694
-0.07367698,0.91419032,0.00301306,0.99698694
-0.07352974,0.91385643,0.00301306,0.99698694
-0.07348034,0.91352254,0.00301306,0.99698694
-0.07345166,0.91318865,0.00301306,0.99698694
-0.07333636,0.91285476,0.00301306,0.99698694
-0.07330666,0.91252087,0.00301306,0.99698694
-0.07328705,0.91218698,0.00301306,0.99698694
-0.07324950,0.91185309,0.00301306,0.99698694
-0.07314553,0.91151920,0.00301306,0.99698694
-0.07314125,0.91118531,0.00301306,0.99698694
-0.07296965,0.91085142,0.00301306,0.99698694
-0.07280096,0.91051753,0.00301306,0.99698694
-0.07267713,0.91018364,0.00301306,0.99698694
-0.07235685,0.90984975,0.00301306,0.99698694
-0.07232378,0.90951586,0.00301306,0.99698694
-0.07220719,0.90918197,0.00301306,0.99698694
-0.07210365,0.90884808,0.00301306,0.99698694
-0.07203330,0.90851419,0.00301306,0.99698694
-0.07201239,0.90818030,0.00301306,0.99698694
-0.07190242,0.90784641,0.00301306,0.99698694
-0.07170703,0.90751252,0.00301306,0.99698694
-0.07157589,0.90717863,0.00301306,0.99698694
-0.07132225,0.90684474,0.00301306,0.99698694
-0.07131194,0.90651085,0.00301306,0.99698694
-0.07126433,0.90617696,0.00301306,0.99698694
-0.07121559,0.90584307,0.00301306,0.99698694
-0.07106415,0.90550918,0.00301306,0.99698694
-0.07098616,0.90517529,0.00301306,0.99698694
-0.07087334,0.90484140,0.00301306,0.99698694
-0.07087151,0.90450751,0.00301306,0.99698694
-0.07081906,0.90417362,0.00301306,0.99698694
-0.07077773,0.90383973,0.00301306,0.99698694
-0.07072368,0.90350584,0.00301306,0.99698694
-0.07058617,0.90317195,0.00301306,0.99698694
-0.07056440,0.90283806,0.00301306,0.99698694
-0.07042201,0.90250417,0.00301306,0.99698694
-0.07037232,0.90217028,0.00301306,0.99698694
-0.07030967,0.90183639,0.00301306,0.99698694
-0.06993748,0.90150250,0.00301306,0.99698694
-0.06977563,0.90116861,0.00301306,0.99698694
-0.06974371,0.90083472,0.00301306,0.99698694
-0.06965707,0.90050083,0.00301306,0.99698694
-0.06937224,0.90016694,0.00301306,0.99698694
-0.06935994,0.89983306,0.00301306,0.99698694
-0.06930631,0.89949917,0.00301306,0.99698694
-0.06913747,0.89916528,0.00301306,0.99698694
-0.06913418,0.89883139,0.00301306,0.99698694
-0.06903168,0.89849750,0.00301306,0.99698694
-0.06897493,0.89816361,0.00301306,0.99698694
-0.06891951,0.89782972,0.00301306,0.99698694
-0.06886082,0.89749583,0.00301306,0.99698694
-0.06874150,0.89716194,0.00301306,0.99698694
-0.06872575,0.89682805,0.00301306,0.99698694
-0.06872220,0.89649416,0.00301306,0.99698694
-0.06866103,0.89616027,0.00301306,0.99698694
-0.06859788,0.89582638,0.00301306,0.99698694
-0.06853146,0.89582638,0.00334784,0.99665216
-0.06848013,0.89549249,0.00334784,0.99665216
-0.06847748,0.89515860,0.00334784,0.99665216
-0.06833456,0.89482471,0.00334784,0.99665216
-0.06826326,0.89482471,0.00368262,0.99631738
-0.06801447,0.89449082,0.00368262,0.99631738
-0.06798059,0.89415693,0.00368262,0.99631738
-0.06791747,0.89382304,0.00368262,0.99631738
-0.06787130,0.89348915,0.00368262,0.99631738
-0.06779808,0.89315526,0.00368262,0.99631738
-0.06764300,0.89282137,0.00368262,0.99631738
-0.06754018,0.89248748,0.00368262,0.99631738
-0.06733180,0.89215359,0.00368262,0.99631738
-0.06731191,0.89181970,0.00368262,0.99631738
-0.06723711,0.89148581,0.00368262,0.99631738
-0.06721137,0.89148581,0.00401741,0.99598259
-0.06715197,0.89115192,0.00401741,0.99598259
-0.06703290,0.89081803,0.00401741,0.99598259
-0.06671751,0.89048414,0.00401741,0.99598259
-0.06653531,0.89015025,0.00401741,0.99598259
-0.06649966,0.88981636,0.00401741,0.99598259
-0.06648993,0.88948247,0.00401741,0.99598259
-0.06645712,0.88914858,0.00401741,0.99598259
-0.06641442,0.88881469,0.00401741,0.99598259
-0.06616972,0.88848080,0.00401741,0.99598259
-0.06569634,0.88814691,0.00401741,0.99598259
-0.06560704,0.88781302,0.00401741,0.99598259
-0.06547568,0.88781302,0.00435219,0.99564781
-0.06545676,0.88747913,0.00435219,0.99564781
-0.06527263,0.88714524,0.00435219,0.99564781
-0.06519313,0.88681135,0.00435219,0.99564781
-0.06515142,0.88647746,0.00435219,0.99564781
-0.06515030,0.88614357,0.00435219,0.99564781
-0.06505283,0.88580968,0.00435219,0.99564781
-0.06498280,0.88547579,0.00435219,0.99564781
-0.06494670,0.88514190,0.00435219,0.99564781
-0.06481627,0.88480801,0.00435219,0.99564781
-0.06480061,0.88447412,0.00435219,0.99564781
-0.06479068,0.88414023,0.00435219,0.99564781
-0.06477195,0.88380634,0.00435219,0.99564781
-0.06447457,0.88347245,0.00435219,0.99564781
-0.06447285,0.88313856,0.00435219,0.99564781
-0.06432686,0.88280467,0.00435219,0.99564781
-0.06421290,0.88247078,0.00435219,0.99564781
-0.06409369,0.88213689,0.00435219,0.99564781
-0.06398096,0.88180301,0.00435219,0.99564781
